WeekID,Year,Week Position,Song,Performer,Performer Group
11/26/16,2016,99,Hold Up,Beyonce,Beyonce
11/12/16,2016,90,Hold Up,Beyonce,Beyonce
11/5/16,2016,82,Hold Up,Beyonce,Beyonce
10/29/16,2016,83,Hold Up,Beyonce,Beyonce
10/22/16,2016,81,Hold Up,Beyonce,Beyonce
10/15/16,2016,87,Hold Up,Beyonce,Beyonce
10/8/16,2016,89,Hold Up,Beyonce,Beyonce
10/1/16,2016,88,Hold Up,Beyonce,Beyonce
9/24/16,2016,65,Sorry,Beyonce,Beyonce
9/24/16,2016,69,Hold Up,Beyonce,Beyonce
9/17/16,2016,62,Sorry,Beyonce,Beyonce
9/10/16,2016,68,Sorry,Beyonce,Beyonce
9/3/16,2016,60,Sorry,Beyonce,Beyonce
8/27/16,2016,55,Sorry,Beyonce,Beyonce
8/20/16,2016,42,Sorry,Beyonce,Beyonce
8/13/16,2016,34,Sorry,Beyonce,Beyonce
8/6/16,2016,31,Sorry,Beyonce,Beyonce
7/30/16,2016,28,Sorry,Beyonce,Beyonce
7/23/16,2016,27,Sorry,Beyonce,Beyonce
7/16/16,2016,26,Sorry,Beyonce,Beyonce
7/9/16,2016,32,Sorry,Beyonce,Beyonce
7/2/16,2016,38,Sorry,Beyonce,Beyonce
6/25/16,2016,88,Formation,Beyonce,Beyonce
6/25/16,2016,41,Sorry,Beyonce,Beyonce
6/18/16,2016,40,Sorry,Beyonce,Beyonce
6/18/16,2016,82,Formation,Beyonce,Beyonce
6/11/16,2016,39,Sorry,Beyonce,Beyonce
6/11/16,2016,75,Formation,Beyonce,Beyonce
6/11/16,2016,93,Hold Up,Beyonce,Beyonce
6/4/16,2016,40,Sorry,Beyonce,Beyonce
6/4/16,2016,63,Formation,Beyonce,Beyonce
6/4/16,2016,74,Hold Up,Beyonce,Beyonce
5/28/16,2016,31,Sorry,Beyonce,Beyonce
5/28/16,2016,47,Formation,Beyonce,Beyonce
5/28/16,2016,48,Hold Up,Beyonce,Beyonce
5/21/16,2016,11,Sorry,Beyonce,Beyonce
5/21/16,2016,64,All Night,Beyonce,Beyonce
5/21/16,2016,66,Daddy Lessons,Beyonce,Beyonce
5/21/16,2016,70,Pray You Catch Me,Beyonce,Beyonce
5/21/16,2016,71,Sandcastles,Beyonce,Beyonce
5/21/16,2016,16,Hold Up,Beyonce,Beyonce
5/21/16,2016,19,Formation,Beyonce,Beyonce
5/21/16,2016,73,Love Drought,Beyonce,Beyonce
5/14/16,2016,11,Sorry,Beyonce,Beyonce
5/14/16,2016,37,Pray You Catch Me,Beyonce,Beyonce
5/14/16,2016,38,All Night,Beyonce,Beyonce
5/14/16,2016,41,Daddy Lessons,Beyonce,Beyonce
5/14/16,2016,43,Sandcastles,Beyonce,Beyonce
5/14/16,2016,10,Formation,Beyonce,Beyonce
5/14/16,2016,13,Hold Up,Beyonce,Beyonce
5/14/16,2016,47,Love Drought,Beyonce,Beyonce
4/25/15,2015,51,11-Jul,Beyonce,Beyonce
4/18/15,2015,49,11-Jul,Beyonce,Beyonce
4/11/15,2015,44,11-Jul,Beyonce,Beyonce
4/4/15,2015,42,11-Jul,Beyonce,Beyonce
3/28/15,2015,36,11-Jul,Beyonce,Beyonce
3/21/15,2015,35,11-Jul,Beyonce,Beyonce
3/14/15,2015,31,11-Jul,Beyonce,Beyonce
3/7/15,2015,25,11-Jul,Beyonce,Beyonce
2/28/15,2015,23,11-Jul,Beyonce,Beyonce
2/21/15,2015,20,11-Jul,Beyonce,Beyonce
2/14/15,2015,22,11-Jul,Beyonce,Beyonce
2/7/15,2015,19,11-Jul,Beyonce,Beyonce
1/31/15,2015,18,11-Jul,Beyonce,Beyonce
1/24/15,2015,20,11-Jul,Beyonce,Beyonce
1/17/15,2015,24,11-Jul,Beyonce,Beyonce
1/10/15,2015,25,11-Jul,Beyonce,Beyonce
